type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_112463368812803	112463368812803_1228277047231424	https://www.facebook.com/112463368812803/posts/1228277047231424	Are you mad at me?					2016-10-31T23:59:55+0000	1477958395	2016-11-01 00:59:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1228260713899724	https://www.facebook.com/112463368812803/posts/1228260713899724	Really disappointed finally got the go ahead that we could get tesco direct sent to BFPO and to make an order of over £500 to get to the checkout to find out I could only order about 25 % of my order as the companies that supply to tesco won t deliver to BFPO! I am willing to name and shame these companies but I feel more disappointed that we were so excited that tesco had finally sorted it to deliver to BFPO when it is false advertising because most of your products are delivered direct from other companies who won t deliver to us!					2016-10-31T23:27:07+0000	1477956427	2016-11-01 00:27:07	0	2	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1228246400567822	https://www.facebook.com/112463368812803/posts/1228246400567822	Shame on Tesco  cut my coupon out to get my free firework when spending £30 on fireworks. Walk to store excitedly........oh no we aren t allowed to give you that offer due to safety queries!!! Really then you won t be getting my custom for fireworks. Bye					2016-10-31T23:01:56+0000	1477954916	2016-11-01 00:01:56	1	1	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1228223813903414	https://www.facebook.com/112463368812803/posts/1228223813903414	Tesco I m very disappointed that you send me a 7 pound voucher to spend on a 50 pound shop   yet the date is until the 30th October and it came in the post today  today is the 31st Oct  oh well!					2016-10-31T22:27:25+0000	1477952845	2016-10-31 23:27:25	0	2	0	0	2	2	2	0	1	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1228223500570112	https://www.facebook.com/112463368812803/posts/1228223500570112	Can someone please explain to me what a  chow chow  is on the vegetable button of your self scan machines  where  bananas  used to be. So friggin annoying.					2016-10-31T22:26:49+0000	1477952809	2016-10-31 23:26:49	0	2	0	0	2	2	1	1	1	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1228219823903813	https://www.facebook.com/112463368812803/posts/1228219823903813	Absolutly disgusted to have been overtaken in a 30 limit by one of your home delivery vans when i was doing the limit!					2016-10-31T22:19:10+0000	1477952350	2016-10-31 23:19:10	0	4	0	1	5	4	1	3	0	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10154041528602444	https://www.facebook.com/112463368812803/posts/10154041528602444	Really disappointed in the quality of chestnuts purchased from your Durrington store.  Cooked 8  5 were rotten👎	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14590257_10154041528602444_1413245113681402065_n.jpg?oh=081fecc4c6486013d2b4a1c9d11c7be7&oe=58E3CB52	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14590257_10154041528602444_1413245113681402065_n.jpg?oh=1e9aca2e2e307329de388ed5d94ad8f7&oe=59225C5F	https://www.facebook.com/photo.php?fbid=10154041528602444&set=o.112463368812803&type=3	facebook.com	2016-10-31T22:18:13+0000	1477952293	2016-10-31 23:18:13	1	4	2	0	6	4	2	2	0	0	1	0	1	0	0	0	0
photo	post_user_112463368812803	112463368812803_729012420595655	https://www.facebook.com/112463368812803/posts/729012420595655	Just got home to realise two items of my shopping are out of date... Not impressed	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14925551_729012420595655_656313883613244122_n.jpg?oh=d7f62b03790dad88801219622f33389a&oe=58E9BA5F	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14925551_729012420595655_656313883613244122_n.jpg?oh=6bd161be9426a7f2268deb5ed8db81f6&oe=58E2A2A8	https://www.facebook.com/photo.php?fbid=729012420595655&set=o.112463368812803&type=3	facebook.com	2016-10-31T22:17:44+0000	1477952264	2016-10-31 23:17:44	0	2	0	0	2	2	2	0	1	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1228218063903989	https://www.facebook.com/112463368812803/posts/1228218063903989	Can you confirm when the Widnes store will cease 24hr opening?					2016-10-31T22:16:24+0000	1477952184	2016-10-31 23:16:24	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1228216410570821	https://www.facebook.com/112463368812803/posts/1228216410570821	As if tesco dudley have the Christmas tree up already.  I mean Halloween wasn t even over. Talk about shoving it down your neck.					2016-10-31T22:12:29+0000	1477951949	2016-10-31 23:12:29	0	1	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0
