type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_112463368812803	112463368812803_1128630760529387	https://www.facebook.com/112463368812803/posts/1128630760529387	Can I ask why when doing an online shop  that when I view the different categories all sorts of random items come up!? Since when has cat food been under hair care!? Its not persuading me to buy different items  its just annoying me.  Plus  how come delivery prices have suddenly increased a lot!? The double up event has stopped  delivery prices increased  the website is all over the place & annoying & your meat has gone downhill. Maybe its time to try another supermarket :(					2016-06-30T22:25:31+0000	1467325531	2016-07-01 00:25:31	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
video	post_user_112463368812803	112463368812803_10153798017924779	https://www.facebook.com/112463368812803/posts/10153798017924779	Time for change Tesco next stop radio	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/13538146_10153798018794779_797959822_n.jpg?oh=bc3f2b7666ece352ae9419da27e17f06&oe=591DDD7F	https://scontent.xx.fbcdn.net/v/t15.0-10/13538146_10153798018794779_797959822_n.jpg?oh=0cbb405f661ad3adf121ea3c09d41341&oe=59222D2B	https://www.facebook.com/10152895002944779/videos/10153798017924779	facebook.com	2016-06-30T22:03:51+0000	1467324231	2016-07-01 00:03:51	4	9	4	0	13	9	3	6	10	0	4	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10208014868542818	https://www.facebook.com/112463368812803/posts/10208014868542818	It says in cooking guidance remove lid and place in baking tray. That to me means the containers can go in the oven but they are Melting and they have only been in there for 5 minutes	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13494994_10208014868542818_719508422859281520_n.jpg?oh=3aa66d5a682abfc986a49e9eddc02633&oe=58E71327	https://scontent.xx.fbcdn.net/v/t1.0-0/p180x540/13494994_10208014868542818_719508422859281520_n.jpg?oh=32886919035196fd5aa02995a572b5ee&oe=58EAC85B	https://www.facebook.com/photo.php?fbid=10208014868542818&set=o.112463368812803&type=3	facebook.com	2016-06-30T22:00:26+0000	1467324026	2016-07-01 00:00:26	2	18	2	0	20	18	6	12	1	0	2	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10154633363750681	https://www.facebook.com/112463368812803/posts/10154633363750681	I went to my local tesco store in Wolverton Milton Keynes on 29.6.2016 and brought some bananas. I have just gone to eat one of bananas and once I had bitten into it I looked at my banana and noticed that it was all brown hard down the core inside. I spat out what was in my mouth. I opened another banana and noticed the same. I think this is disgusting. People be warned when buying bananas. I have researched what it is and its a fungus in the bananas and makes you sick. BEWARE	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13528972_10154633363750681_3552870474049512950_n.jpg?oh=c3d59b22acfe7e7ce69e309c08ff93e5&oe=58E90017	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13528972_10154633363750681_3552870474049512950_n.jpg?oh=d9abadca7b960bfad5331b0eb080c12a&oe=58EFF11A	https://www.facebook.com/photo.php?fbid=10154633363750681&set=o.112463368812803&type=3	facebook.com	2016-06-30T21:54:02+0000	1467323642	2016-06-30 23:54:02	0	6	3	0	9	4	1	3	1	0	0	0	3	0	0	0	0
status	post_user_112463368812803	112463368812803_1128611397197990	https://www.facebook.com/112463368812803/posts/1128611397197990	I think you need to have a look at the despatch emails being sent from Tesco Direct.  I ordered today and my despatch email says I can collect it......... Today!!!!! Think you have a bug in your system that needs some attention.					2016-06-30T21:32:33+0000	1467322353	2016-06-30 23:32:33	0	3	0	0	3	3	2	1	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128607763865020	https://www.facebook.com/112463368812803/posts/1128607763865020	I could not collect my order as my daughter was off school ill.  I called and it was sent on a van.  That made my day thanks dumfries store a couple of weeks ago x					2016-06-30T21:22:14+0000	1467321734	2016-06-30 23:22:14	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128607233865073	https://www.facebook.com/112463368812803/posts/1128607233865073	I am very unhappy with the level of customer service within your Colchester store!  I was given an  ASOS  gift card as a birthday present which was bought in your rainham store. I tried to use it on Asos and was unable to. I contacted Asos who said to return it to tesco. Your Colchester store said they couldn t look it up as wasn t bought there. I even had the receipts as proof! The only thing  Tesco  would offer me was a  goodwill  Tesco voucher!!!! All I wanted was a refund or a new Asos voucher! Why is this such a challenge!? Any help would be appreciated. Many thanks					2016-06-30T21:20:10+0000	1467321610	2016-06-30 23:20:10	0	3	0	0	3	3	2	1	1	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128606077198522	https://www.facebook.com/112463368812803/posts/1128606077198522	You may wish to rebrand your  fruit & fibre  range as  fibre & find the fruit  #treasurehunt  #oneraisin 🤔					2016-06-30T21:16:35+0000	1467321395	2016-06-30 23:16:35	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128603100532153	https://www.facebook.com/112463368812803/posts/1128603100532153	A few Saturday s ago I visited the Tesco Extra store in Failsworth with my fiancé  my 17 month old daughter and my 4 year old son who has Autism. We decided to visit the Café for some lunch and grabbed a table and I went and ordered our food.  My son has major sensory issues and because of this can get upset and scared at noises and sounds that you or I wouldn t even notice. It could be a hand dryer  a hoover  a coffee machine or something we aren t even aware of.  I could tell on our visit that his anxiety levels were rising and I put it down to the coffee machine being so loud and the fact that it was going off quite regularly. The Café was getting busy which could have also contributed to his stress levels.  My son started to get upset and stressed which meant he was becoming louder and people were starting to look over at us. A very nice member of staff named Rachael came over and informed me that I couldn t have my meal as the chef hadn t prepared any that morning. She told me that I would be refunded for this error and so I received my meal for free which I thought was great customer service.  She told me to pick anything else that I wanted from the menu. After taking my order she came back with everyone else s food and I had to wait longer for mine. This made my little boy even more anxious so I gave him my iPhone to watch in the hope that it would be a distraction for him. Normally if we are out and about and he gets upset  he will watch cartoons on my phone and be much calmer.  Today it wasn t working and his anxiety levels peaked and he went into meltdown mode. He was extremely upset and stressed out and was shouting and screaming very loudly. I noticed people looking over at us and I guess its part and parcel of having a son on the spectrum but it doesn t make it any easier.  My daughter was also becoming bored and anxious which made her cranky and upset. This makes my son even more stressed and it also made me feel pressured to calm him down. We tried everything with him: talking to him  singing to him  tickling him  distracting him  giving him the iPhone but nothing was working today. Most days  one of those distractions works but not today. I genuinely felt lost and was ready to get up and walk out without having my lunch. Then the very nice lady called Rachael walked over and approached my son. She addressed him by his name (as she had heard me talking to him) and got down to his level and placed a little booklet in front of him.   It was a free Tesco Healthy Eating booklet which were on display at the till and it had stickers inside it so you can create your own farm. She handed the booklet to my son and asked him if he would like to do some stickers. She opened the booklet and showed him the stickers and almost immediately he stopped and looked at her and said  stickers . My son doesn t use many words so this was massive for him. She spent a few minutes calmly talking to him.  I thanked her for what she had done and proceeded to help my son with the stickers where he created his own farm. He sat there for the rest of our meal  happy until we had finished.  I called Rachael over and thanked her for the way she dealt with my son. When everyone else was staring and his anxiety levels were rising  she came over and gave him 5 minutes of her time. What people don t realise is that what she did would impact the rest of our day. If he would have remained in meltdown mode then we would have had a horrendous day with him but just a little thinking outside the box and offering him her time made a huge difference and gave us a happy boy.  She told me that a friend of hers teaches children with additional needs and that she recognised what was happening with my son. I think this is absolutely fantastic and this lady changed the course of our day just by being understanding and giving him 5 minutes of her time. In a situation where I was getting stressed out and wasn t sure of what to do next  she used simplicity and diffused a challenging situation.  I would like to publicly thank Rachael for doing what she did. Not many people have an awareness or an understanding of Autism and it can be very challenging and scary for people on the spectrum and also for their families.  I would like this message to be passed on to her please so that she is aware how grateful we are and I think you should be proud of having a member of staff like Rachael in your Failsworth store. All staff should have some basic training in dealing with people with additional needs. At the end of the day its a customer facing role and your customers are all different and every store should be an inclusive store.  Thank you Rachael.					2016-06-30T21:07:13+0000	1467320833	2016-06-30 23:07:13	3522	333	3865	813	5011	330	286	44	602	0	3488	315	21	2	2	0	0
status	post_user_112463368812803	112463368812803_1128600030532460	https://www.facebook.com/112463368812803/posts/1128600030532460	Can I buy a Gift Card in store?					2016-06-30T20:55:40+0000	1467320140	2016-06-30 22:55:40	0	5	0	0	5	5	2	3	1	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10205830643318040	https://www.facebook.com/112463368812803/posts/10205830643318040	I had my shopping delivered on Tuesday night  opened the grapes this morning to take some to work and discovered an unwanted dead fly in them. Understandably I m not going to eat the grapes to find out what other (hopefully dead) creatures are in there. Usually the grapes I get from Tesco are brilliant.   Can I have my money back please  without having to drive significantly out of my way to find a shop to do so?	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13439069_10205830643318040_667460033242177758_n.jpg?oh=77cf0e75234d726bb75f0adfb6279ceb&oe=58E73D3A	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13439069_10205830643318040_667460033242177758_n.jpg?oh=bbdc7a3a7f0a14140930f6947bb8a8a0&oe=58E1E42F	https://www.facebook.com/photo.php?fbid=10205830643318040&set=o.112463368812803&type=3	facebook.com	2016-06-30T20:46:14+0000	1467319574	2016-06-30 22:46:14	2	2	2	0	4	2	1	1	0	0	2	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128580470534416	https://www.facebook.com/112463368812803/posts/1128580470534416	8 weeks on one leg (the other broken unusable) stuck in house unable to go anywhere  only 6 weeks to go. I am in an out of the way village. Feeling fed up & bored but thankfull for online grocery shopping and home delivery. Thanks Tesco couldnt of got this far without you.					2016-06-30T20:17:38+0000	1467317858	2016-06-30 22:17:38	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10208404097514094	https://www.facebook.com/112463368812803/posts/10208404097514094	Purchased this today from Flitwick tesco .  Luckily it was for an adult because when the lid was unscrewed we found that the ring pull lid normally inside is not there and has already been used???????!!!!!!!! Please be vigilant that products are airtight and sealed before you use as you can never tell if anything has been put into it. Will be returning this tomorrow that s for sure	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13509075_10208404097514094_453690563379211539_n.jpg?oh=e4ca493325609dd588d79db35b98fa7d&oe=5920EB13	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13509075_10208404097514094_453690563379211539_n.jpg?oh=bca9f1c844a6ee83481e3d902a2b3c18&oe=58EEEC06	https://www.facebook.com/photo.php?fbid=10208404097514094&set=o.112463368812803&type=3	facebook.com	2016-06-30T20:11:02+0000	1467317462	2016-06-30 22:11:02	2	7	4	0	11	7	2	5	2	0	2	0	2	0	0	0	0
status	post_user_112463368812803	112463368812803_1128575583868238	https://www.facebook.com/112463368812803/posts/1128575583868238	Still waiting for my shopping after booking it to arrive between 7 and 8 pm and it s now nearly 9pm. No phone calls or emails to say the delivery was going to be late. I ve had to order takeaway for tea for a family of 5 spending another £30 on top of the shopping  the takeaway has managed to arrive and be eaten but still no shopping!! I ve had to ring customer services and been kept on hold and still no explanation apart from being told it would be up to 45 mins late..now wondering if I should brave the torrential rain and walk to the shop for packed lunch stuff as possibly not going to get any shopping any time soon. Rang customer services once again and was told I would be refunded my £3 service charge from a £300 shop but they ve no idea where my shopping is!!!!!!!! Absolutely disgusting the lack of customer service I have received from tesco as a loyal customer.					2016-06-30T20:02:55+0000	1467316975	2016-06-30 22:02:55	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128574400535023	https://www.facebook.com/112463368812803/posts/1128574400535023	Hi I ve messaged but not had a response  have purchased an Alton towers ticket with my club card vouchers to use tomorrow  have been waiting for the email ticket since 6pm can you please get back to me regarding this?					2016-06-30T20:00:25+0000	1467316825	2016-06-30 22:00:25	0	4	0	0	4	4	3	1	1	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128574267201703	https://www.facebook.com/112463368812803/posts/1128574267201703	Just want to ask if you guys can show me the law ( and I mean law not policy ) that states I have to get off my bike to fill up as I can t find it online?					2016-06-30T19:59:58+0000	1467316798	2016-06-30 21:59:58	0	28	0	0	28	27	10	17	10	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10156960718785018	https://www.facebook.com/112463368812803/posts/10156960718785018	Another successful delivery tonight. Efficient and friendly service!  Fresh food delivered to your door is the future 🍓🍏🧀🍞🍕🏡 Week in week out never any problems - thank you for making my life that little bit easier 🙋🏻	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13501610_10156960718785018_6210153646274798620_n.jpg?oh=eb63183daa4f70caa378f2ba5d58ba3d&oe=58D83530	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13501610_10156960718785018_6210153646274798620_n.jpg?oh=30c8446b1fc53b2c67800edda64fe4dd&oe=591B933D	https://www.facebook.com/photo.php?fbid=10156960718785018&set=o.112463368812803&type=3	facebook.com	2016-06-30T19:50:05+0000	1467316205	2016-06-30 21:50:05	8	4	8	0	12	3	3	0	2	0	8	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128566560535807	https://www.facebook.com/112463368812803/posts/1128566560535807	Just tried the Natures Store Free From Milk Chocolate Rice Cakes bought from your store in Bedford - they are completely amazing. Good amount of chocolate compared to the more well known brand in store and extremely tasty. Not sure if these are a brand that comes under the Tesco umbrella or if they are a brand that exist in their own right but I loved them - so much so I had to go back and have another one and will be purchasing the white chocolate ones next. Yum yum yum.					2016-06-30T19:40:15+0000	1467315615	2016-06-30 21:40:15	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_1071000109648131	https://www.facebook.com/112463368812803/posts/1071000109648131	Big thank you to the lady from Tesco today (not pictured) for taking the time to make sure my little one was OK and helping calm her down after she cut her finger. She was busy rushing about but still took a time out to look for a plaster and offer us some fruit while we waited. :)	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13528754_1071000109648131_4253974573174037526_n.jpg?oh=041e9bd2b913b07372211c6215c3573c&oe=5922B6BB	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13528754_1071000109648131_4253974573174037526_n.jpg?oh=0d6e670a8e06f2b16511a4851c551312&oe=58E580AE	https://www.facebook.com/photo.php?fbid=1071000109648131&set=o.112463368812803&type=3	facebook.com	2016-06-30T19:38:15+0000	1467315495	2016-06-30 21:38:15	1	3	1	0	4	2	2	0	1	0	1	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128563907202739	https://www.facebook.com/112463368812803/posts/1128563907202739	A big praise for the young guy(didn t get a name) from Yeovil store on the pizza counter  he was brilliant didn t have all the things I wanted for my pizza tonight  even came and found me while I was pushing my disabled mum around to tell  then he came and found me when he d made it.  Thank you					2016-06-30T19:35:10+0000	1467315310	2016-06-30 21:35:10	8	4	8	0	12	4	3	1	1	0	8	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128563370536126	https://www.facebook.com/112463368812803/posts/1128563370536126	WHY HAVE YOU STOPPED SELLING VOLVIC!!!					2016-06-30T19:33:09+0000	1467315189	2016-06-30 21:33:09	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
video	post_user_112463368812803	112463368812803_10155087511529863	https://www.facebook.com/112463368812803/posts/10155087511529863	This morning i bought a sliced tiger loaf from linwood tesco.. I went to make a sandwich ealier and came accross flies on the loaf  ive been put off eating bread now as you dont ever think you will find that in your loaf. I returned it to store and was informed that the bread is sliced and repackaged in store and that it would have came from the supplier outside.. If this is the case why would your baker not notice flies on the load before cutting and repackaging it.. I was offered a refund or another loaf of bread which i declined.. I think they may need to look in to this as its unexceptable!	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/13537985_10155087520939863_1911046324_n.jpg?oh=c73b4d99afc0ab1a6b7b0d231349adcc&oe=58E9D125	https://scontent.xx.fbcdn.net/v/t15.0-10/13537985_10155087520939863_1911046324_n.jpg?oh=c791c37e8f24a061f710c433bf7c740f&oe=5924AAE8	https://www.facebook.com/10155089437009863/videos/10155087511529863	facebook.com	2016-06-30T19:32:07+0000	1467315127	2016-06-30 21:32:07	1	8	3	0	11	8	3	5	3	0	1	0	1	0	0	1	0
photo	post_user_112463368812803	112463368812803_10208284853172398	https://www.facebook.com/112463368812803/posts/10208284853172398	Seriously???	https://scontent.xx.fbcdn.net/v/t1.0-0/q85/s130x130/13439183_10208284853172398_7001573904892340744_n.jpg?oh=970020c407e28ca1b6311959a97ffc2d&oe=58E48EE4	https://scontent.xx.fbcdn.net/v/t1.0-0/q85/p180x540/13439183_10208284853172398_7001573904892340744_n.jpg?oh=d55160334a99c42ab0a701d468f092f1&oe=58D99090	https://www.facebook.com/photo.php?fbid=10208284853172398&set=o.112463368812803&type=3	facebook.com	2016-06-30T19:31:11+0000	1467315071	2016-06-30 21:31:11	22	3	29	0	32	3	3	0	5	0	22	0	0	7	0	0	0
photo	post_user_112463368812803	112463368812803_717696184999380	https://www.facebook.com/112463368812803/posts/717696184999380	My partner bought onions today. Dated 10th July. They are really bad condition for supposedly having over a weeks date left in them. Shud b very fresh	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13521871_717696184999380_257762751262692532_n.jpg?oh=60f238c2577610d1828223d4415c0c70&oe=58E266F2	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13521871_717696184999380_257762751262692532_n.jpg?oh=4314b966c672c220914d63aacbf697f0&oe=58DD2605	https://www.facebook.com/photo.php?fbid=717696184999380&set=o.112463368812803&type=3	facebook.com	2016-06-30T19:12:08+0000	1467313928	2016-06-30 21:12:08	0	4	0	0	4	3	2	1	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128543727204757	https://www.facebook.com/112463368812803/posts/1128543727204757	Not impressed with my delivery today at all .  Strawberries that where on the turn .  I ordered fresh pea  in the pod .i was sent three tiny bags of peas that had started to go yellow ..  The comment from your driver was quite frankly laughable and insulting .  These are the only fresh peas we we sell peas don t come in pods.we have never sold them like that   He was recluctant  to take the   three tiny packets back					2016-06-30T18:46:17+0000	1467312377	2016-06-30 20:46:17	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128541107205019	https://www.facebook.com/112463368812803/posts/1128541107205019	More Tesco vouchers doing the rounds  I m guessing it s another scam?					2016-06-30T18:39:13+0000	1467311953	2016-06-30 20:39:13	0	11	0	0	11	11	4	7	3	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10154385082304954	https://www.facebook.com/112463368812803/posts/10154385082304954	Ooh Mr Tesco  not good. Just opened this and it s dated 23rd July but it s mouldy!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13510972_10154385082304954_4410961658093800287_n.jpg?oh=9170adf2cc8ea65fcc69b70a204af42d&oe=58EEB15F	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13510972_10154385082304954_4410961658093800287_n.jpg?oh=48c52f5d958c2f707310c30914549ab0&oe=591DD852	https://www.facebook.com/photo.php?fbid=10154385082304954&set=o.112463368812803&type=3	facebook.com	2016-06-30T18:31:45+0000	1467311505	2016-06-30 20:31:45	1	4	1	0	5	4	3	1	1	0	1	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128531397205990	https://www.facebook.com/112463368812803/posts/1128531397205990	Why have you stopped doing the Size 5 Easy Fit Pants (nappies)?					2016-06-30T18:16:12+0000	1467310572	2016-06-30 20:16:12	0	5	0	0	5	5	1	4	1	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10157020166735858	https://www.facebook.com/112463368812803/posts/10157020166735858	Cheers Tesco... It s teatime in my house  as well as many others across the country (I d imagine) and I decided to do something a little different for my family s tea. Gnocchi  I thought. So I grabbed the packet out of the pantry  (no  I don t live at Highclere Castle or have butlers  I just have a cupboard under my stairs where I store all the dried foods  tinned foods  and the cheeky packet of Doritos I plan on demolishing one Saturday afternoon when my Husband and son have gone out)  boiled the water and tipped them in; very useful cooking instructions on the packaging  I must say  for a beginner gnocchi chef like myself. However...and this is where my problem-free teatime quest becomes a story full of woe  self-doubt and a fair amount of pity -  why me?    why did I pick gnocchi for tea?    what did I ever do to Tesco?    I m hungry ...floating at the top of the pot was this delightful little bundle.   What the...  was my first thought  and you may imagine my surprise and disgust as I grabbed the nearest utensil and fished it out. My second thought turned to my dinner. Was it ruined? Did I have enough time to substitute the delicious pasta parcels I was lovingly preparing for my family? Was this blunder going to throw my diet out of whack for the day? No  of course not! I ll get onto the ol  Book of Faces and tell you guys all about it  in the hopes that by the time I d finished writing War and Peace  some suggestions for alternative foodstuffs for my dinner.  Answers on a postcard!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13528925_10157020166735858_3555820839455415662_n.jpg?oh=a13f4c1b9d52744ae225dfa0fa374609&oe=58DE494A	https://scontent.xx.fbcdn.net/v/t1.0-0/p480x480/13528925_10157020166735858_3555820839455415662_n.jpg?oh=1bd37204847ce526e48d17e6ac48db3c&oe=58EE8959	https://www.facebook.com/photo.php?fbid=10157020166735858&set=o.112463368812803&type=3	facebook.com	2016-06-30T17:14:34+0000	1467306874	2016-06-30 19:14:34	3	6	3	0	9	4	3	1	4	0	3	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1128490230543440	https://www.facebook.com/112463368812803/posts/1128490230543440	I meant best before dates sorry					2016-06-30T17:11:01+0000	1467306661	2016-06-30 19:11:01	0	3	0	0	3	3	1	2	1	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10157147125055650	https://www.facebook.com/112463368812803/posts/10157147125055650	Not sure what this bright blue thing is in my Ham and Mushroom tagliatelle? Any ideas?	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/13557872_10157147125055650_6381537386540234163_n.jpg?oh=143225c901ae972465a3feea3bb59670&oe=58EB59E6	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/13557872_10157147125055650_6381537386540234163_n.jpg?oh=5d376d879e0604d1486d5b64526927d5&oe=58DAF6EB	https://www.facebook.com/photo.php?fbid=10157147125055650&set=o.112463368812803&type=3	facebook.com	2016-06-30T17:09:25+0000	1467306565	2016-06-30 19:09:25	0	7	0	0	7	7	4	3	2	0	0	0	0	0	0	0	0
