type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
status	post_user_112463368812803	112463368812803_1199111040148025	https://www.facebook.com/112463368812803/posts/1199111040148025	I ve got a courier coming in morning  Saturday  from 7am. I ve no paperwork or returns label  do I need one or will the courier know it s going back to you as Tesco written on box? and what info do I need to include in box for you to issue refund? Had emailed you about this but no response.					2016-09-30T23:01:52+0000	1475276512	2016-10-01 01:01:52	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1199088046816991	https://www.facebook.com/112463368812803/posts/1199088046816991	Tried to order a replacement Tesco card. Some weeks later  2 separate envelopes of cards arrived  both with the wrong initial and with some details of the address incorrect. I speak clearly  slowly an without a strong accent. I rung the card people a couple of weeks ago and asked for a correctly made out replacement. It has yet to arrive. Hardly efficient.					2016-09-30T22:12:18+0000	1475273538	2016-10-01 00:12:18	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1199084413484021	https://www.facebook.com/112463368812803/posts/1199084413484021	My car wouldn t start tonight on the Tesco seacroft petrol forecourt. Although we got it sorted I just wanted to say how lovely the Tesco staff were. They offered me a cup of tea and a seat to wait for the AA to arrive. And once my car started one of the ladies offered to drive behind me to make sure I was safe! They all were lovely and very kind to me when I was in a panic. Thank you all very much x					2016-09-30T22:03:59+0000	1475273039	2016-10-01 00:03:59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1199073283485134	https://www.facebook.com/112463368812803/posts/1199073283485134	Well tesco you have truly disappointed me this week. Have been a loyal customer for years and spend hundreds of pounds a month on online food shopping. Ordered my shopping on wed night to be delivered with the new saver delivery slot (6pm-10pm). Was due to arrive thursday night. 10pm and no shopping arrived....11pm and no shopping arrived. Husband Finally went to bed at 11.30pm as had work the next day. I called the helpline at 7am and was given no reason or explanation as to why my £255 food shop had not arrived. I was told it could no be guarenteed to be delivered today! I tried to cancel the order to be told would take 3-5 days to go back into my account. Not acceptable so i agreed to wait for a redelivery. Got £20 voucher when i asked for complaints department! I was on night shift... so got up at 5pm with a text to say will be delivered between 7-8pm. I left for work at 7.30pm and still no sign. Hubby called me and said it arrived at 20:15pm and 21 items are beyond use by date tomorrow and two are actually use by today!!!!!! Total cost £35!!! Oh and i got my £1 delivery refunded and a £5 gift card!!!!!! The driver apparently ran out of time!!! What a mess!!!! Any suggestions what i do with my £35 worth of food that needs eaten tomorrow?? Surely i should have been a priority to deliver on time today. Very disappointed Tesco :(					2016-09-30T21:36:49+0000	1475271409	2016-09-30 23:36:49	0	2	0	3	5	2	1	1	1	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10209312095055197	https://www.facebook.com/112463368812803/posts/10209312095055197	Trying to ring a store for last hour and a half 30 calls later still no answer !!!!!😡😡😡😡 your customer service has got to be one of the worst in the country !!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14522997_10209312095055197_8658096639990193931_n.jpg?oh=fe066013ac4bf04866160fd27050b96a&oe=591BB82E	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14522997_10209312095055197_8658096639990193931_n.jpg?oh=105f79211107a82f51ec0d36b283cd08&oe=59185323	https://www.facebook.com/photo.php?fbid=10209312095055197&set=o.112463368812803&type=3	facebook.com	2016-09-30T21:00:04+0000	1475269204	2016-09-30 23:00:04	0	3	0	0	3	3	2	1	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1199049916820804	https://www.facebook.com/112463368812803/posts/1199049916820804	I would like to thank ben at tesco extra in bedworth for changing my tyer tonight. Its not in his job title but he still took the time to come and help two usless girls in our hour of need! Thankyou soo much ben you were a massive help on this cold wet night!					2016-09-30T20:57:10+0000	1475269030	2016-09-30 22:57:10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1199047450154384	https://www.facebook.com/112463368812803/posts/1199047450154384	A big thank you to Abi at Tesco s Royston  Herts.  After watching my 3 year old try to escape the trolley she asked for his help with scanning my shopping to keep him occupied.  Also  thank you to the lady who bought the chocolates round.  I didn t catch your name but it let me get the last couple of aisles sorted before check out!  Great customer service.					2016-09-30T20:53:55+0000	1475268835	2016-09-30 22:53:55	3	3	3	0	6	3	1	2	1	0	3	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10211106222161051	https://www.facebook.com/112463368812803/posts/10211106222161051	Just opened my box of radler I had delivered with my grocery order and it s out of date with wierd sediment at bottom!! 3 months out of date!!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14485158_10211106222161051_7541071534100720112_n.jpg?oh=d3c1e44dc0f966707d8b19a6921273db&oe=591ED686	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14485158_10211106222161051_7541071534100720112_n.jpg?oh=5213ba1ff3e6dd2020352d76e99fb42d&oe=5920BB8B	https://www.facebook.com/photo.php?fbid=10211106222161051&set=o.112463368812803&type=3	facebook.com	2016-09-30T20:50:41+0000	1475268641	2016-09-30 22:50:41	1	3	1	0	4	2	2	0	1	0	1	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1199043453488117	https://www.facebook.com/112463368812803/posts/1199043453488117	Just came home from a late night shop. Staff were clearing out bread from bakery into pink coloured bags  can t remembered extract wording on them but basically stating not suitable for consumption??  Why is it that bread baked this morning  lunchtime or whenever today not suitable to be eaten tonight or tomorrow.  Am shocked. Someone going to bed tonight with an empty stomach will happily eat that tomorrow. I know I would cos I do. Why is it acceptable to only donate food that has long life. I am sure a shelter or another organisation that helps those in need wouldn t mind them  for sandwiches or breakfast tomorrow of dunk in a soup?Absolute waste. Am quite disgusted.					2016-09-30T20:46:25+0000	1475268385	2016-09-30 22:46:25	0	10	0	0	10	10	3	7	5	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1199041720154957	https://www.facebook.com/112463368812803/posts/1199041720154957	Can you clarify if the double the difference refund is ongoing and if it applies to tesco.com grocery orders please!					2016-09-30T20:42:26+0000	1475268146	2016-09-30 22:42:26	0	2	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10154640288767042	https://www.facebook.com/112463368812803/posts/10154640288767042		https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14522701_10154640288767042_2640335545608178467_n.jpg?oh=1ad39c9cb8484954cf53ce904b266029&oe=591C1F12	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14522701_10154640288767042_2640335545608178467_n.jpg?oh=ba173a375a15dbde6c509e49695e2fe0&oe=58E1C91F	https://www.facebook.com/photo.php?fbid=10154640288767042&set=o.112463368812803&type=3	facebook.com	2016-09-30T20:35:00+0000	1475267700	2016-09-30 22:35:00	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10154640288527042	https://www.facebook.com/112463368812803/posts/10154640288527042		https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14457439_10154640288527042_6208378481054838143_n.jpg?oh=cb20b73ffe76db7972a2c11b163c8f4c&oe=58E4D468	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14457439_10154640288527042_6208378481054838143_n.jpg?oh=5809b5dfc96407a5af39eb9ad555131e&oe=59230865	https://www.facebook.com/photo.php?fbid=10154640288527042&set=o.112463368812803&type=3	facebook.com	2016-09-30T20:34:48+0000	1475267688	2016-09-30 22:34:48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photo	post_user_112463368812803	112463368812803_10154640288062042	https://www.facebook.com/112463368812803/posts/10154640288062042	Very dissapointed Tesco!!! Went into my local Tesco express  (Dagenham oxlow lane) to quickly grab a can of dog food. When I got home to give the dog food to my dog I noticed the pull top on the lid was missing.  On closer inspection of the tin. Some one has previously tried to open the can. You can clearly see by the pictures that someone has taken a tin opener to it. Quite shocking that this tin has made it back onto the shelf!!!! I can t take it back as the cashier asked me if I would like a receipt as I was in a rush I said I d be ok with out one. A mistake I won t be making again!!!	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14469662_10154640288062042_1614322166939437643_n.jpg?oh=af8fdaac3c4107b2d76422a88f4cf1ac&oe=59207BD1	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14469662_10154640288062042_1614322166939437643_n.jpg?oh=d22a371ec880f1ca5923d18bfaa1bac3&oe=58D66EDC	https://www.facebook.com/photo.php?fbid=10154640288062042&set=o.112463368812803&type=3	facebook.com	2016-09-30T20:34:29+0000	1475267669	2016-09-30 22:34:29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
status	post_user_112463368812803	112463368812803_1199036286822167	https://www.facebook.com/112463368812803/posts/1199036286822167	I m absolutely fuming ! Tesco direct are so unhelpful ! I ordered a ps4 500 gb after frantically trying to get one for an upcoming birthday and managed to pay for one online via the amazing deal.Too good to be true I asked myself. Maybe the gods were on my side! I paid online   had an order number and was collecting tomorrow . Then out of the blue this evening I receive an email saying item cancelled ??? In a panic I rang them . 19 minutes of my life I will never get back!!! 3 different   customer services managers later  each telling me to hold the line to be connected to a different dept   .(who is in charge of the managers that s what I want to know????? ) I get through to a rather unhelpful man . It s down to the website not updating stock . Then he blamed the suppliers. Then it was the website again. Really I replied most websites have a stock ordering system that states not in stock when it reaches zero. His reply was .well you would think so wouldn t you but the site is rubbish !!! I asked to go on the reserve list to which he replied they don t have one. Funny that as that is one of there options.... Then he said there s nothing more he could do ...  No help what so ever. I would like to know who is going to explain to the excited birthday boy that he s not getting his longed for gift ?????					2016-09-30T20:30:42+0000	1475267442	2016-09-30 22:30:42	1	3	1	0	4	3	2	1	1	0	1	0	0	0	0	0	0
